kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
3.8,6759,-579,-526,79.2,1358,53,-249,-348,5,0
2,20022,-1172,343,25,18397,15,-56,4392,1,1
3,25298,1257,930,45,39079,19,4368,3244,2,1
5,26887,1381,825,50,15550,16,3937,4665,3,1
4.5,13147,1183,946,22.5,19482,12,3568,5910,4,1
7,17670,-353,515,52.5,7368,53,1391,2603,5,1
0.75,20183,1172,-343,30,11677,8,56,-4392,1,0
1.6,13659,-1257,-930,40,16985,22,-4368,-3244,2,0
1,21001,-1381,-825,50,662,10,-3937,-4665,3,0
1,23825,-1183,-946,50,5178,13,-3568,-5910,4,0
1.57,21889,353,-515,55,784,62,-1391,-2603,5,0
0.1,9122,-3163,-1934,8.3,2926,11,-8903,-7190,1,0
0.71,11981,956,209,41.7,751,22,-2136,-5326,2,0
0.5,10844,-2588,-1467,33.3,310,11,-5360,-3634,3,0
1.17,19449,-1185,-1800,58.3,489,12,-2755,-2926,4,0
0.75,8993,-784,535,50,0,45,-2080,-1133,5,0
16,28246,3163,1934,41,14172,2,8903,7190,1,1
11,16045,-956,-209,28.2,53658,23,2136,5326,2,1
6.33,31689,2588,1467,48.7,16363,8,5360,3634,3,1
5.67,22315,1185,1800,43.6,25588,18,2755,2926,4,1
5.25,8000,784,-535,53.8,4096,62,2080,1133,5,1
1.25,24812,-1596,-1078,33.3,18138,16,-972,-287,1,0
2.12,31015,357,-954,56.7,14761,18,287,-926,2,0
1.29,28014,-1034,-144,30,1436,14,-9074,-5229,3,0
2.75,26440,580,-93,36.7,3036,18,367,1286,4,0
3.75,22805,1124,1029,50,8732,65,1781,-829,5,0
1.3,25655,1596,1078,41.9,10937,17,972,287,1,1
1.86,15290,-357,954,41.9,44243,35,-287,926,2,1
4,53662,1034,144,64.5,5455,20,9074,5229,3,1
1.43,16573,-580,93,32.3,10064,14,-367,-1286,4,1
18,7441,-1124,-1029,58.1,4264,49,-1781,829,5,1
1.1,20351,-1687,-394,25.6,13288,20,-406,904,1,1
4,13510,-491,33,37.2,33147,15,679,1183,2,1
2.67,29352,933,-374,55.8,13527,23,2912,1420,3,1
3.6,17199,-2133,-2073,41.9,9148,12,1039,816,4,1
13,17633,254,571,60.5,4219,54,1754,3814,5,1
1.25,18317,1687,394,33.3,12834,19,406,-904,1,0
2.33,17538,491,-33,46.7,26371,13,-679,-1183,2,0
1.5,19792,-933,374,40,10350,9,-2912,-1420,3,0
1,13155,2133,2073,33.3,4091,10,-1039,-816,4,0
1.18,12905,-254,-571,43.3,2317,54,-1754,-3814,5,0
1.62,15427,-1212,-600,35.1,7373,20,-2894,-1345,1,0
2.2,23711,-815,-517,59.5,26684,27,-2606,-1651,2,0
2.38,28258,2025,725,51.4,5613,20,1835,549,3,0
4,38854,1100,20,64.9,11119,13,-323,-2683,4,0
2.12,17544,-102,-125,45.9,3017,72,-881,-2671,5,0
2.86,22503,1212,600,50,12717,14,2894,1345,1,1
4.33,24928,815,517,65,21571,29,2606,1651,2,1
1.75,22827,-2025,-725,35,7163,16,-1835,-549,3,1
2.75,34837,-1100,-20,55,12046,19,323,2683,4,1
3,12053,102,125,60,3031,61,881,2671,5,1
1,27448,719,1578,35.3,6479,12,-2668,-3661,1,0
0.89,19770,-332,-1476,47.1,17231,19,-1845,-5895,2,0
0.83,17396,-135,-405,29.4,1194,12,-4715,-5256,3,0
0.73,12580,735,-1168,47.1,2100,10,-3585,-7375,4,0
1.22,21999,-594,31,64.7,2598,55,-830,-309,5,0
1.6,37365,-719,-1578,19.5,17535,14,2668,3661,1,1
19,23696,332,1476,46.3,42660,19,1845,5895,2,1
16,26009,135,405,39,12406,16,4715,5256,3,1
4.2,42169,-735,1168,51.2,12273,8,3585,7375,4,1
3.8,19760,594,-31,46.3,16883,48,830,309,5,1
2.11,44782,2316,2393,51.4,14480,21,1014,-2391,1,0
1.12,26770,-1492,-2634,48.6,37410,19,-1969,-5155,2,0
1.29,39875,-2701,-2862,48.6,3591,14,161,-1915,3,0
1.09,23998,-1428,-843,32.4,6955,19,-1933,-516,4,0
3,8124,-1599,-1432,56.8,848,61,-3213,-2051,5,0
1.6,32633,-2316,-2393,28.1,17906,20,-1014,2391,1,1
4.5,31179,1492,2634,47.4,27295,32,1969,5155,2,1
6.17,61220,2701,2862,64.9,9615,35,-161,1915,3,1
2.43,29944,1428,843,29.8,27055,19,1933,516,4,1
3.62,26195,1599,1432,50.9,12953,57,3213,2051,5,1
1.8,13787,-491,-469,50,4061,17,469,-3447,1,0
2.33,19935,-357,-156,77.8,1363,15,-715,-3355,2,0
1.4,15401,-3074,-849,38.9,237,19,-5839,-3187,3,0
1.33,9074,-2561,-1585,44.4,0,11,-4158,-3934,4,0
1.5,6697,-1234,-943,66.7,53,66,-2549,-3255,5,0
1.33,14795,491,469,26.7,10425,9,-469,3447,1,1
5.5,11202,357,156,36.7,70469,19,715,3355,2,1
5.67,21202,3074,849,56.7,5584,11,5839,3187,3,1
2.4,25837,2561,1585,40,18498,24,4158,3934,4,1
7.5,8181,1234,943,50,12286,65,2549,3255,5,1
1.83,33113,513,878,45.8,6399,27,776,944,1,0
1.18,26273,-1336,-827,54.2,24728,19,-3292,-4587,2,0
2.33,32647,-584,-116,58.3,5208,20,-2863,-1397,3,0
3.5,37551,1028,1305,29.2,3484,18,-953,-1223,4,0
2,11653,7,393,50,4289,89,1161,-320,5,0
0.8,43219,-513,-878,25.8,13121,22,-776,-944,1,1
11,37551,1336,827,71,54639,55,3292,4587,2,1
5,27977,584,116,64.5,12814,20,2863,1397,3,1
2.6,27552,-1028,-1305,41.9,25562,36,953,1223,4,1
5,8888,-7,-393,48.4,6120,69,-1161,320,5,1
10.5,35667,-372,-772,55.3,10659,7,1687,3342,1,1
31,41895,2563,705,81.6,51981,24,8470,6536,2,1
9.67,25101,135,662,76.3,16684,18,4162,5986,3,1
1.83,17443,480,215,28.9,21951,19,258,1415,4,1
6.67,11071,135,1043,52.6,4084,39,1446,2685,5,1
0.5,20111,372,772,33.3,5802,7,-1687,-3342,1,0
0.5,10020,-2563,-705,26.7,4612,27,-8470,-6536,2,0
0.86,14787,-135,-662,40,0,18,-4162,-5986,3,0
1.14,20349,-480,-215,53.3,1363,33,-258,-1415,4,0
1.33,4629,-135,-1043,53.3,731,60,-1446,-2685,5,0
0.25,11984,-32,-759,25,4267,17,-2491,-4656,1,0
0.2,8970,-1691,-1691,25,11276,15,-5600,-5703,2,0
0.57,17096,-1027,248,50,0,14,-3443,-1856,3,0
0.17,6947,-1156,-771,12.5,1426,13,-4849,-4998,4,0
0.38,17755,667,482,37.5,4881,57,-1021,-3118,5,0
3.25,26708,32,759,33.3,13429,13,2491,4656,1,1
34,25526,1691,1691,87.2,57819,14,5600,5703,2,1
7.33,23634,1027,-248,56.4,19353,22,3443,1856,3,1
27,23485,1156,771,69.2,16122,16,4849,4998,4,1
26,5953,-667,-482,66.7,9450,48,1021,3118,5,1
3.67,20441,2671,1496,28.2,20317,17,7602,7123,1,1
10.5,32366,1640,1027,53.8,49123,22,5981,5925,2,1
2.5,16017,19,153,25.6,8563,25,-2314,763,3,1
3,20029,161,141,46.2,20898,22,1127,3360,4,1
3.67,15997,-44,195,56.4,7071,64,1272,1626,5,1
0.62,10192,-2671,-1496,23.8,1357,14,-7602,-7123,1,0
1,11727,-1640,-1027,52.4,5734,21,-5981,-5925,2,0
2.25,21800,-19,-153,42.9,407,12,2314,-763,3,0
1.62,16098,-161,-141,61.9,6341,15,-1127,-3360,4,0
2.12,21202,44,-195,81,1788,55,-1272,-1626,5,0
3,33990,278,452,44.1,19523,23,2418,2420,1,1
3.25,26666,807,637,38.2,42298,26,2651,4917,2,1
2.33,37136,-309,542,41.2,7303,4,980,3171,3,1
2.83,37252,-1436,230,50,10892,10,-1633,3338,4,1
1.45,24053,-58,100,47.1,1084,65,137,2023,5,1
2.8,32189,-278,-452,43.8,17201,15,-2418,-2420,1,0
2.29,17345,-807,-637,50,18697,22,-2651,-4917,2,0
2.12,28171,309,-542,53.1,5551,10,-980,-3171,3,0
2.11,33760,1436,-230,59.4,7663,16,1633,-3338,4,0
3.4,14074,58,-100,53.1,1545,67,-137,-2023,5,0
1,16156,-983,-1825,37.5,3220,13,-1696,-2065,1,0
2.67,7802,-17,926,50,2310,16,-822,-2130,2,0
1.57,22776,-72,-332,68.8,4570,14,-1049,-2637,3,0
1,19425,-8,-729,56.2,431,10,-1362,-2505,4,0
1.67,5278,-126,-303,62.5,990,37,-1448,-1234,5,0
4.33,23373,983,1825,41.9,17279,18,1696,2065,1,1
3.25,14940,17,-926,41.9,35212,7,822,2130,2,1
3.75,26511,72,332,48.4,13467,17,1049,2637,3,1
10,17993,8,729,64.5,8542,15,1362,2505,4,1
4.67,11991,126,303,45.2,5074,65,1448,1234,5,1
9,30764,3568,4149,46.2,10607,22,5003,5320,1,1
1.22,18764,-83,56,28.2,60422,14,1288,6443,2,1
4,25673,-1468,691,30.8,20882,38,1536,5297,3,1
2.33,14953,609,68,35.9,24620,29,1906,2255,4,1
1.67,17593,-598,176,38.5,7080,54,760,1899,5,1
0.2,13674,-3568,-4149,6.9,5720,16,-5003,-5320,1,0
1.89,14304,83,-56,58.6,9921,30,-1288,-6443,2,0
3.2,25493,1468,-691,55.2,4944,19,-1536,-5297,3,0
4,24789,-609,-68,69,3425,10,-1906,-2255,4,0
2.2,31107,598,-176,75.9,2046,89,-760,-1899,5,0
0.77,22072,-725,-1049,22.2,18358,17,-4832,-3137,1,1
5.75,28208,617,860,51.1,31820,41,4776,6255,2,1
3.12,50295,-1644,-408,55.6,17452,17,-1650,4889,3,1
3.12,49909,1528,468,55.6,58028,19,2901,208,4,1
3.43,19047,921,1275,53.3,3477,70,2083,2980,5,1
2.5,37538,725,1049,50,24277,27,4832,3137,1,0
1.55,23420,-617,-860,42.5,12203,22,-4776,-6255,2,0
4.8,40003,1644,408,60,6219,17,1650,-4889,3,0
1.75,38422,-1528,-468,52.5,24480,21,-2901,-208,4,0
1.56,17572,-921,-1275,35,2535,70,-2083,-2980,5,0
4.25,39892,1320,449,60.7,15001,8,2833,-2317,1,0
4.5,27173,601,-365,64.3,25069,17,2193,-1564,2,0
1.6,28594,-561,58,57.1,4673,15,-2817,-3911,3,0
0.57,13195,-1837,-774,28.6,16014,14,-8311,-5593,4,0
1.89,13182,-521,567,60.7,3314,45,-1366,-3800,5,0
3.2,38424,-1320,-449,39,6609,23,-2833,2317,1,1
1.88,30530,-601,365,36.6,53909,19,-2193,1564,2,1
6.75,49199,561,-58,65.9,12435,10,2817,3911,3,1
5.2,75900,1837,774,63.4,17798,17,8311,5593,4,1
4.83,13835,521,-567,70.7,8161,74,1366,3800,5,1
4.4,48600,1129,744,52.4,14719,32,2143,-334,1,1
1.57,62563,-220,370,26.2,118222,47,5004,6207,2,1
4.6,46214,692,-457,54.8,16738,15,-1869,-1570,3,1
2.89,81119,-1035,373,61.9,39165,21,-3880,1953,4,1
2.6,20365,-701,310,61.9,3662,83,1772,-1175,5,1
1.43,63678,-1129,-744,27.8,7889,23,-2143,334,1,0
2.29,32398,220,-370,44.4,25487,40,-5004,-6207,2,0
4,64319,-692,457,55.6,3597,32,1869,1570,3,0
1.79,64034,1035,-373,69.4,5074,19,3880,-1953,4,0
3.44,14729,701,-310,86.1,3998,92,-1772,1175,5,0
3.67,44864,-212,1011,55,7904,27,-2310,453,1,1
1.75,19228,-1842,-1490,35,25973,36,-2710,-525,2,1
2.56,29176,-1208,-447,57.5,2479,25,2335,945,3,1
5.75,33497,1539,692,57.5,25267,17,4221,2258,4,1
27,29736,809,146,67.5,4505,90,4767,3589,5,1
0.77,36809,212,-1011,37,10139,12,2310,-453,1,0
3.8,26193,1842,1490,70.4,45410,23,2710,525,2,0
2.5,29029,1208,447,74.1,8238,30,-2335,-945,3,0
1.29,23271,-1539,-692,33.3,29252,30,-4221,-2258,4,0
1.29,11599,-809,-146,33.3,3653,88,-4767,-3589,5,0
1.86,31351,-1233,384,28.3,3228,24,-7217,-3367,1,1
4.83,32106,1293,1381,63,37803,21,3678,3675,2,1
5.2,37954,726,493,56.5,20096,36,967,-1284,3,1
2.6,45921,278,-583,56.5,35659,17,5281,2212,4,1
5.29,13680,-608,347,80.4,2930,110,278,963,5,1
3.5,51460,1233,-384,60,33348,34,7217,3367,1,0
1.67,20655,-1293,-1381,57.1,36092,45,-3678,-3675,2,0
5,43206,-726,-493,57.1,8242,33,-967,1284,3,0
1.27,17526,-278,583,40,9782,26,-5281,-2212,4,0
1.31,23081,608,-347,48.6,3424,98,-278,-963,5,0
3.25,20321,1872,1303,43.3,5815,12,4870,3056,1,1
6,17157,1815,717,60,28481,17,3716,3759,2,1
16,21820,401,866,53.3,12927,12,-639,3519,3,1
7,13192,159,-267,46.7,12622,15,666,1625,4,1
13,5453,543,399,43.3,6304,42,1860,1834,5,1
1,10749,-1872,-1303,45.5,0,11,-4870,-3056,1,0
0.75,10825,-1815,-717,54.5,24848,19,-3716,-3759,2,0
1.75,16030,-401,-866,63.6,552,8,639,-3519,3,0
1,12311,-159,267,54.5,1603,15,-666,-1625,4,0
0.57,4610,-543,-399,36.4,493,49,-1860,-1834,5,0
3.8,21311,4036,1862,39.6,14681,16,5300,4754,1,1
4,15396,777,194,33.3,48403,23,-22,4374,2,1
2.44,36146,2112,1911,45.8,8373,5,4583,4255,3,1
4.33,34024,295,-933,54.2,38910,8,3288,2060,4,1
5.8,14322,255,-901,60.4,4311,62,403,2969,5,1
0.7,12949,-4036,-1862,24.1,4516,11,-5300,-4754,1,0
1.67,22290,-777,-194,69,8075,14,22,-4374,2,0
1.6,20617,-2112,-1911,55.2,1783,7,-4583,-4255,3,0
2.57,17099,-295,933,62.1,770,11,-3288,-2060,4,0
2.56,14028,-255,901,79.3,7,52,-403,-2969,5,0
5,39605,1571,1653,32.6,11313,21,5190,8527,1,1
4.2,28311,128,-579,45.7,47893,23,-1406,1650,2,1
10,35182,951,1345,43.5,22124,22,2428,4488,3,1
4.5,28104,-741,-212,39.1,15558,19,4359,4357,4,1
4.4,19407,399,-175,47.8,12796,75,2468,2618,5,1
0.86,14475,-1571,-1653,31.6,7578,15,-5190,-8527,1,0
1.38,24062,-128,579,57.9,17904,37,1406,-1650,2,0
0.6,17493,-951,-1345,31.6,614,21,-2428,-4488,3,0
1,26992,741,212,52.6,873,8,-4359,-4357,4,0
0.91,7222,-399,175,52.6,476,69,-2468,-2618,5,0
0.83,13885,678,894,23.8,5651,6,-198,318,1,0
1.38,15694,-1134,-1111,52.4,20671,19,-2236,-2895,2,0
1.38,14096,1068,301,52.4,2399,14,1322,-1663,3,0
1.8,14222,-2083,-623,42.9,8136,13,-2723,-1467,4,0
1,8507,-1069,-503,42.9,0,40,-1741,-625,5,0
3,24284,-678,-894,25,5317,8,198,-318,1,1
5.25,22745,1134,1111,58.3,16750,18,2236,2895,2,1
1.57,18063,-1068,-301,30.6,3201,13,-1322,1663,3,1
9,27251,2083,623,50,16892,6,2723,1467,4,1
3.4,9198,1069,503,47.2,4021,55,1741,625,5,1
1.75,23984,569,648,21.2,20111,13,227,2163,1,1
4.4,33953,-519,135,66.7,41428,14,-1096,2888,2,1
2.38,23221,704,-201,57.6,8131,18,4840,3723,3,1
3.8,20556,-616,-604,57.6,24468,21,-669,1728,4,1
3.14,10599,208,119,66.7,9152,47,1070,1165,5,1
2.8,22895,-569,-648,48.3,7805,18,-227,-2163,1,0
3.43,35634,519,-135,82.8,16360,15,1096,-2888,2,0
2.33,21435,-704,201,48.3,8061,15,-4840,-3723,3,0
2,15577,616,604,48.3,15591,15,669,-1728,4,0
1.88,6449,-208,-119,51.7,2128,61,-1070,-1165,5,0
3,14150,-989,-953,21.4,34419,14,-531,-319,1,1
21,17392,2767,1911,75,19427,22,6269,8085,2,1
5,17470,1050,241,35.7,8090,11,4094,3503,3,1
8,25005,1775,942,57.1,16458,20,4679,3095,4,1
7.5,7738,-290,624,53.6,776,55,498,1605,5,1
1,16627,989,953,55.6,2708,22,531,319,1,0
0.29,5394,-2767,-1911,22.2,7674,13,-6269,-8085,2,0
3,7304,-1050,-241,66.7,2031,10,-4094,-3503,3,0
0.86,6393,-1775,-942,66.7,0,18,-4679,-3095,4,0
0.43,7806,290,-624,33.3,0,16,-498,-1605,5,0
2.33,21338,-880,-1603,19.4,25820,23,4552,4136,1,1
7,18953,725,379,58.3,37215,26,3014,4740,2,1
5,38840,1366,739,69.4,11062,32,5375,2802,3,1
5.5,26661,-313,287,61.1,15844,25,-885,3841,4,1
2.33,23427,-361,-492,38.9,11065,70,-704,1566,5,1
1,16120,880,1603,14.3,5073,19,-4552,-4136,1,0
1.11,22425,-725,-379,47.6,9200,32,-3014,-4740,2,0
2,19622,-1366,-739,47.6,4991,35,-5375,-2802,3,0
0.73,24034,313,-287,38.1,7744,20,885,-3841,4,0
1.75,13187,361,492,66.7,1753,67,704,-1566,5,0
8,30755,2320,1458,50,11467,9,2254,2540,1,1
5,17125,58,-117,62.5,37560,25,2901,3366,2,1
18,21619,1177,800,56.2,10617,16,2128,1530,3,1
3,9662,-536,-4,28.1,10908,17,-249,1722,4,1
1.62,19632,-72,-1236,40.6,5444,62,1118,516,5,1
1.75,13495,-2320,-1458,38.9,10395,18,-2254,-2540,1,0
1,16098,-58,117,44.4,11805,24,-2901,-3366,2,0
0.83,7738,-1177,-800,27.8,1903,20,-2128,-1530,3,0
0.71,11858,536,4,27.8,6473,15,249,-1722,4,0
1.29,10041,72,1236,50,263,36,-1118,-516,5,0
0.5,5994,-1802,-1831,20,2570,7,-2076,-2357,1,0
0.8,5072,428,-792,40,0,10,243,-985,2,0
0.17,4611,-3645,-2826,10,294,6,-4337,-3097,3,0
1.25,9078,-712,-1673,50,997,8,-1507,-2277,4,0
0.62,4648,-2065,-130,50,185,8,-2532,-663,5,0
2,8867,1802,1831,14.8,3238,4,2076,2357,1,1
1,1934,-428,792,11.1,23749,9,-243,985,2,1
8,15747,3645,2826,29.6,5470,7,4337,3097,3,1
14,13183,712,1673,51.9,1925,3,1507,2277,4,1
3.25,10881,2065,130,48.1,1015,17,2532,663,5,1
10,28457,3986,2628,45.5,14620,14,7699,5415,1,1
2.83,21550,-1364,-700,38.6,42141,29,2408,4933,2,1
6.33,29212,36,468,43.2,6514,19,632,3481,3,1
2,23956,619,203,27.3,19642,14,323,293,4,1
3.8,14308,670,897,43.2,7441,56,-78,1309,5,1
0.27,7726,-3986,-2628,13.6,2935,16,-7699,-5415,1,0
0.58,14811,1364,700,31.8,8330,17,-2408,-4933,2,0
1.67,25442,-36,-468,45.5,7215,10,-632,-3481,3,0
1.57,18669,-619,-203,50,3633,17,-323,-293,4,0
1.5,18953,-670,-897,54.5,0,30,78,-1309,5,0
0.75,29319,-1610,-1186,32.1,12081,18,-2748,-5286,1,0
1.57,16000,-406,-916,39.3,22718,15,-620,-3825,2,0
1,26245,-455,-813,46.4,3205,19,-6988,-7113,3,0
2.33,40508,-37,-67,75,12311,18,1507,-2806,4,0
2.3,5972,-346,-320,82.1,1791,71,-939,-3745,5,0
5.5,35534,1610,1186,43.1,24101,17,2748,5286,1,1
3.83,26315,406,916,45.1,52066,26,620,3825,2,1
5.2,44580,455,813,51,30201,20,6988,7113,3,1
3,25935,37,67,35.3,18053,11,-1507,2806,4,1
4.14,25535,346,320,56.9,7662,63,939,3745,5,1
1.5,24090,1353,1468,36.6,3778,21,-1948,1622,1,1
3.25,53353,622,867,63.4,40231,22,5492,7657,2,1
2.14,36160,-921,-192,36.6,8534,13,677,-581,3,1
2.33,17164,-83,-1720,34.1,30170,20,2200,-1681,4,1
3.5,8674,-1187,5,51.2,3097,62,-2435,860,5,1
1,29680,-1353,-1468,29.7,9087,23,1948,-1622,1,0
1.12,20238,-622,-867,24.3,35863,31,-5492,-7657,2,0
3.17,34890,921,192,51.4,3750,21,-677,581,3,0
2.8,24069,83,1720,37.8,10952,27,-2200,1681,4,0
2.36,26377,1187,-5,70.3,3789,46,2435,-860,5,0
2.33,22073,2357,1945,41.2,17687,12,5135,4370,1,1
2.6,8841,-371,-1032,38.2,37008,23,-399,380,2,1
2.5,14898,954,1140,29.4,4547,8,3004,3749,3,1
1.8,10712,111,620,26.5,6970,11,910,545,4,1
4,9531,-10,-800,35.3,831,18,-259,-1888,5,1
0.5,19598,-2357,-1945,21.7,3329,9,-5135,-4370,1,0
4,12137,371,1032,34.8,5837,11,399,-380,2,0
0.5,14474,-954,-1140,17.4,1353,12,-3004,-3749,3,0
1.33,13377,-111,-620,34.8,776,5,-910,-545,4,0
0.88,10673,10,800,30.4,2557,24,259,1888,5,0
1.4,26638,-1401,-806,32.6,10310,27,264,-1308,1,0
3.5,32570,3034,1486,48.8,62372,42,-3692,-2407,2,0
1.8,26694,-914,-530,41.9,6042,27,-3045,-4054,3,0
4.6,29385,-958,84,53.5,24548,26,-1530,2166,4,0
2.17,20332,-218,-38,60.5,6295,83,1301,-3,5,0
2,34763,1401,806,37.2,11064,16,-264,1308,1,1
2.6,44995,-3034,-1486,60.5,43461,28,3692,2407,2,1
4.5,26792,914,530,41.9,5623,34,3045,4054,3,1
1.55,34822,958,-84,39.5,20504,18,1530,-2166,4,1
2.3,7303,218,38,53.5,2522,67,-1301,3,5,1
3.75,38001,1452,946,34.9,6108,23,1446,1665,1,1
5,37762,592,1553,46.5,62534,24,2797,4965,2,1
2.71,34016,2390,675,44.2,3283,31,1645,-1764,3,1
2.83,27718,-493,-295,39.5,32668,18,3094,4453,4,1
12,11666,181,-370,55.8,2677,97,584,834,5,1
0.25,21100,-1452,-946,8.7,14888,18,-1446,-1665,1,0
1.08,33182,-592,-1553,60.9,4977,17,-2797,-4965,2,0
2.6,18945,-2390,-675,56.5,4907,26,-1645,1764,3,0
2.29,20686,493,295,69.6,7168,22,-3094,-4453,4,0
1.4,16918,-181,370,60.9,2771,31,-584,-834,5,0
3.33,11964,766,23,22.2,8144,12,-1262,2847,1,1
13,30005,448,1843,57.8,62650,16,2445,5589,2,1
1.82,36585,31,-327,44.4,9144,30,4232,3727,3,1
6.25,28032,3622,1958,55.6,32035,11,5390,3912,4,1
5.2,8800,349,924,57.8,2706,56,566,2985,5,1
1.22,32550,-766,-23,44,517,16,1262,-2847,1,0
2,19984,-448,-1843,72,486,14,-2445,-5589,2,0
1.25,21105,-31,327,40,3165,16,-4232,-3727,3,0
0.64,12168,-3622,-1958,28,2303,3,-5390,-3912,4,0
2.12,12461,-349,-924,68,135,47,-566,-2985,5,0
1.5,11059,8,-197,17.6,15700,16,-266,169,1,1
25,35279,2527,3120,73.5,53037,30,8203,7855,2,1
2.8,13663,168,850,41.2,8114,21,571,2717,3,1
2.11,27122,245,-411,55.9,15216,29,1923,539,4,1
1.75,13908,-1261,-262,41.2,2443,82,163,1587,5,1
2.25,18304,-8,197,33.3,9764,18,266,-169,1,0
1.2,24142,-2527,-3120,44.4,13883,18,-8203,-7855,2,0
1,21886,-168,-850,37,6656,19,-571,-2717,3,0
4.4,33885,-245,411,81.5,11002,24,-1923,-539,4,0
3.8,8651,1261,262,70.4,1806,74,-163,-1587,5,0
21,25564,2188,1556,52.5,8217,13,6797,6591,1,1
5.75,27779,2426,1948,57.5,62533,22,7658,7783,2,1
3,15458,-278,-2086,30,7191,22,767,-1605,3,1
8.5,16138,-33,505,42.5,25650,7,-1259,3535,4,1
4.17,12797,448,225,62.5,4345,96,2739,2486,5,1
0.29,11349,-2188,-1556,12.5,0,19,-6797,-6591,1,0
0.78,19052,-2426,-1948,43.8,10718,16,-7658,-7783,2,0
1.33,18294,278,2086,25,987,22,-767,1605,3,0
1.09,33263,33,-505,75,4411,15,1259,-3535,4,0
1,11500,-448,-225,62.5,863,66,-2739,-2486,5,0
0,5732,707,-625,0,2824,4,856,-316,1,1
10,5936,1522,1102,50,12913,8,1523,1162,2,1
9,8324,2518,2057,45,2230,6,2527,1962,3,1
5.5,10028,2636,708,55,3220,10,2827,1085,4,1
15,11158,2697,2109,75,3562,14,2717,2271,5,1
1,6132,-707,625,25,0,2,-856,316,1,0
0.5,2732,-1522,-1102,50,6029,6,-1523,-1162,2,0
0,6950,-2518,-2057,0,74,1,-2527,-1962,3,0
0.6,6866,-2636,-708,75,701,7,-2827,-1085,4,0
0.6,3738,-2697,-2109,75,211,16,-2717,-2271,5,0
1.2,28808,702,411,52.2,2254,7,-2866,-4619,1,0
0.57,10916,-2238,-2911,34.8,9428,22,-5465,-7325,2,0
0.57,18866,-410,537,17.4,6322,13,58,-823,3,0
0.38,6655,-2392,-967,21.7,189,11,-3842,-2412,4,0
1.4,15916,478,745,30.4,613,52,289,1146,5,0
2.67,36013,-702,-411,32.7,29743,20,2866,4619,1,1
24,32236,2238,2911,49,55727,30,5465,7325,2,1
4.5,22737,410,-537,36.7,16458,22,-58,823,3,1
3.17,26648,2392,967,38.8,17251,12,3842,2412,4,1
3.67,9632,-478,-745,44.9,2112,72,-289,-1146,5,1
4.5,44151,1900,1766,51.4,25813,33,5781,5128,1,1
1.67,27071,-645,-813,42.9,39819,40,1846,-262,2,1
3.5,24329,-476,303,60,9775,15,717,3438,3,1
2.38,33193,-2157,-1849,54.3,31985,20,-4422,617,4,1
2.22,9858,-137,-130,57.1,4901,96,173,-113,5,1
1.29,18443,-1900,-1766,25,7033,11,-5781,-5128,1,0
1.78,21386,645,813,44.4,28902,21,-1846,262,2,0
1.88,25524,476,-303,41.7,2249,24,-717,-3438,3,0
3.71,54095,2157,1849,72.2,25736,19,4422,-617,4,0
6.25,10690,137,130,69.4,3696,77,-173,113,5,0
5.5,27621,994,181,59.5,13634,21,5390,5684,1,1
2.5,15805,-895,-1038,54.1,39805,10,1048,5606,2,1
6.25,40933,761,718,67.6,7669,14,4245,1897,3,1
2,35349,41,64,43.2,29581,12,1,276,4,1
6,11174,-203,-111,64.9,6470,69,389,2329,5,1
3,20656,-994,-181,53.6,6483,18,-5390,-5684,1,0
1.44,14890,895,1038,46.4,20894,15,-1048,-5606,2,0
1.75,26648,-761,-718,50,10449,15,-4245,-1897,3,0
1.75,23217,-41,-64,50,11565,10,-1,-276,4,0
2.14,19585,203,111,53.6,4419,56,-389,-2329,5,0
2.17,25666,450,-332,40.6,14644,16,769,-853,1,1
3.5,15100,-127,89,43.8,36243,22,-879,-366,2,1
1.86,25216,460,595,40.6,21517,17,1715,-709,3,1
2.5,37209,841,821,62.5,9288,6,2858,-882,4,1
1.6,21477,-292,-33,50,3158,43,101,404,5,1
4,29725,-450,332,57.1,4066,13,-769,853,1,0
2.71,24702,127,-89,54.3,17773,18,879,366,2,0
4.2,33405,-460,-595,60,2134,15,-1715,709,3,0
1.4,18975,-841,-821,40,8424,5,-2858,882,4,0
4.8,12267,292,33,68.6,2416,51,-101,-404,5,0
2.33,41361,387,218,29.2,13168,15,-528,1872,1,1
5.5,26913,707,577,68.8,47141,21,3772,4042,2,1
3,25656,-558,-1020,50,11467,13,-408,672,3,1
5.17,40436,1720,1219,64.6,19630,14,1164,3118,4,1
6.5,19921,957,507,54.2,6523,108,2441,3986,5,1
2,24393,-387,-218,46.7,4789,10,528,-1872,1,0
1.36,17100,-707,-577,50,21154,19,-3772,-4042,2,0
2.67,29772,558,1020,53.3,6198,17,408,-672,3,0
0.93,23829,-1720,-1219,46.7,6186,14,-1164,-3118,4,0
2.22,6339,-957,-507,66.7,4242,53,-2441,-3986,5,0
0.57,12076,-1648,-1427,30.8,5233,18,-2364,-4053,1,0
2,8005,204,-582,61.5,10238,13,-1830,-3513,2,0
0.9,17364,28,317,69.2,1698,25,-3247,-3714,3,0
0.64,13229,-2406,-1658,53.8,2374,7,-7357,-5506,4,0
