kda,dmg_to_champions,gold_diff_15,exp_diff_15,kill_participation,objective_damage,vision_score,gold_diff_end,exp_diff_end,role,win_loss
0.8,11913,-358,-1034,32,13963,15,-4458,-6850,2,0
0.7,23962,-1355,-323,28,5027,12,-3561,-1402,3,0
1.56,21451,-1187,-530,56,8298,15,-1423,-2694,4,0
1.33,22068,-1439,-2174,48,1052,46,-2025,-3276,5,0
1,13604,-1315,-792,10.9,13947,16,1782,4747,1,1
6,23083,358,1034,39.1,71204,23,4458,6850,2,1
3.5,36514,1355,323,45.7,12257,20,3561,1402,3,1
2.62,22925,1187,530,45.7,11468,24,1423,2694,4,1
8.67,15384,1439,2174,56.5,3420,40,2025,3276,5,1
0.88,11844,-2085,-2088,21.9,3898,9,-2181,-2960,1,0
2.43,20966,-411,170,53.1,18751,14,-2496,-3907,2,0
2.86,30334,705,1288,62.5,4736,13,1817,3762,3,0
2,15713,-957,-541,56.2,5975,15,-5763,-3401,4,0
1.55,28322,-784,-995,53.1,4279,58,-383,-1654,5,0
1.86,33793,2085,2088,31,9265,17,2181,2960,1,1
4.5,26008,411,-170,42.9,46615,25,2496,3907,2,1
1.25,16366,-705,-1288,23.8,19282,12,-1817,-3762,3,1
2.5,33802,957,541,47.6,26508,16,5763,3401,4,1
4,10913,784,995,47.6,2788,73,383,1654,5,1
0,1627,0,0,0,0,1,-973,-304,1,0
0,1553,0,0,0,0,0,5,65,3,0
2,1793,0,0,100,0,1,124,226,4,0
3,2266,0,0,42.9,0,1,973,304,1,1
1.5,1795,0,0,42.9,0,0,-124,-226,4,1
0.86,17824,-984,-1034,37.5,1190,5,-2209,-4043,1,0
1.11,13280,-490,917,62.5,9088,22,-3761,-4523,2,0
0.7,21018,112,-365,43.8,665,16,-2702,-4358,3,0
0.78,14109,-1414,-730,43.8,70,11,-4589,-4409,4,0
0.43,9797,-1554,-2715,37.5,0,43,-3720,-6286,5,0
3,23482,984,1034,24.5,9765,6,2209,4043,1,1
10,23831,490,-917,61.2,52592,14,3761,4523,2,1
6.33,19515,-112,365,38.8,11943,11,2702,4358,3,1
8,25110,1414,730,49,15208,19,4589,4409,4,1
8.67,21839,1554,2715,53.1,6435,62,3720,6286,5,1
2.78,28091,-1476,-892,55.6,10683,6,-2742,-78,1,1
8,39312,185,280,71.1,43787,22,5886,8099,2,1
1.62,33283,-1516,-2363,28.9,11148,14,2518,4224,3,1
3.5,52061,326,-985,62.2,18410,15,-332,454,4,1
3.67,11428,-566,112,73.3,2212,69,-420,2294,5,1
1.5,31715,1476,892,39.5,5114,13,2742,78,1,0
1.18,26784,-185,-280,34.2,41152,32,-5886,-8099,2,0
3,33694,1516,2363,39.5,8083,25,-2518,-4224,3,0
1.45,38839,-326,985,42.1,7603,20,332,-454,4,0
2.5,13621,566,-112,52.6,4164,90,420,-2294,5,0
2.33,28812,689,428,19.4,27182,6,2439,2860,1,1
8.5,19294,739,248,47.2,47938,16,5299,5456,2,1
3.2,41951,642,813,44.4,5159,14,572,3439,3,1
1.71,17165,407,254,33.3,10032,13,1457,2439,4,1
4.25,8553,11,-640,47.2,3294,34,481,960,5,1
0.75,18474,-689,-428,14.3,4017,6,-2439,-2860,1,0
0.73,16294,-739,-248,38.1,5134,14,-5299,-5456,2,0
1.71,24481,-642,-813,57.1,3774,23,-572,-3439,3,0
0.62,22536,-407,-254,38.1,1518,9,-1457,-2439,4,0
12,8341,-11,640,57.1,161,44,-481,-960,5,0
4.5,26703,1330,1272,22.5,23622,15,158,3200,1,1
5,23147,-439,-338,50,47196,22,3236,5401,2,1
2.5,27043,160,683,37.5,13930,20,378,1697,3,1
4,30985,331,-1001,50,25117,26,4412,3796,4,1
2,20109,712,403,45,2976,75,2657,1394,5,1
2.5,19024,-1330,-1272,38.5,4054,13,-158,-3200,1,0
2.33,17535,439,338,53.8,14383,9,-3236,-5401,2,0
0.8,15271,-160,-683,30.8,10369,13,-378,-1697,3,0
1.27,19060,-331,1001,53.8,1912,9,-4412,-3796,4,0
1.33,13862,-712,-403,46.2,664,74,-2657,-1394,5,0
4,24195,-412,586,32.7,17348,33,2510,4443,1,1
3.5,35523,-1068,-530,42.9,43831,27,4,1814,2,1
5.75,30189,-1859,-18,46.9,9222,42,2716,3889,3,1
12.67,40299,2076,1359,77.6,38442,8,5227,4859,4,1
5.83,25754,1094,170,71.4,5961,104,2852,2122,5,1
1,9673,412,-586,30.4,18573,19,-2510,-4443,1,0
2.2,18499,1068,530,47.8,30456,25,-4,-1814,2,0
0.89,24459,1859,18,34.8,5022,29,-2716,-3889,3,0
0.71,39098,-2076,-1359,43.5,7874,16,-5227,-4859,4,0
0.79,11388,-1094,-170,47.8,1977,72,-2852,-2122,5,0
5.75,38082,1457,1479,51.1,26215,26,3185,4101,1,1
3,24298,808,388,53.3,53500,19,1510,1303,2,1
5,31383,-333,237,44.4,18074,20,3236,3641,3,1
1.42,16028,494,361,37.8,15193,13,-3450,-1951,4,1
3.5,26541,630,210,46.7,10709,85,3555,3400,5,1
1.44,23717,-1457,-1479,38.2,5208,22,-3185,-4101,1,0
